Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0001,10/12/00,La Coruna,Vallecano,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,10/12/00,Malaga,Valladolid,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,10/12/00,Mallorca,Osasuna,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,10/12/00,Real Madrid,Celta,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,10/12/00,Santander,Alaves,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,16/12/00,Alaves,La Coruna,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,16/12/00,Espanol,Real Madrid,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
0001,16/12/00,Sociedad,Villarreal,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,16/12/00,Vallecano,Barcelona,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
0001,16/12/00,Zaragoza,Las Palmas,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,17/12/00,Celta,Mallorca,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
0001,17/12/00,Osasuna,Numancia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,17/12/00,Oviedo,Santander,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,17/12/00,Valencia,Malaga,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,17/12/00,Valladolid,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,19/12/00,Real Madrid,Vallecano,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,20/12/00,Ath Bilbao,Valencia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,20/12/00,Barcelona,Alaves,3,2,H,1.0,0.0,H,,,,,,,,,,,,,
0001,20/12/00,La Coruna,Oviedo,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,20/12/00,Las Palmas,Osasuna,3,2,H,0.0,0.0,D,,,,,,,,,,,,,
0001,20/12/00,Malaga,Sociedad,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,20/12/00,Mallorca,Espanol,3,2,H,1.0,2.0,A,,,,,,,,,,,,,
0001,20/12/00,Numancia,Celta,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
0001,20/12/00,Santander,Valladolid,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
0001,20/12/00,Villarreal,Zaragoza,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,06/01/01,Malaga,Ath Bilbao,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,07/01/01,Alaves,Real Madrid,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
0001,07/01/01,Celta,Las Palmas,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
0001,07/01/01,Espanol,Numancia,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,07/01/01,Osasuna,Villarreal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,07/01/01,Oviedo,Barcelona,2,3,A,0.0,2.0,A,,,,,,,,,,,,,
0001,07/01/01,Sociedad,Zaragoza,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,07/01/01,Vallecano,Mallorca,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
0001,07/01/01,Valencia,Santander,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,07/01/01,Valladolid,La Coruna,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,13/01/01,Barcelona,Valladolid,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,13/01/01,La Coruna,Valencia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,14/01/01,Las Palmas,Espanol,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,14/01/01,Mallorca,Alaves,4,3,H,1.0,0.0,H,,,,,,,,,,,,,
0001,14/01/01,Numancia,Vallecano,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,14/01/01,Real Madrid,Oviedo,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,14/01/01,Sociedad,Ath Bilbao,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,14/01/01,Santander,Malaga,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
0001,14/01/01,Villarreal,Celta,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,14/01/01,Zaragoza,Osasuna,4,2,H,3.0,2.0,H,,,,,,,,,,,,,
0001,20/01/01,Valencia,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
0001,21/01/01,Alaves,Numancia,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,21/01/01,Ath Bilbao,Santander,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,21/01/01,Celta,Zaragoza,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
0001,21/01/01,Espanol,Villarreal,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,21/01/01,Malaga,La Coruna,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
0001,21/01/01,Osasuna,Sociedad,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,21/01/01,Oviedo,Mallorca,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,21/01/01,Vallecano,Las Palmas,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
0001,21/01/01,Valladolid,Real Madrid,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
0001,24/01/01,Real Madrid,Zaragoza,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,27/01/01,Ath Bilbao,La Coruna,2,2,D,1.0,2.0,A,,,,,,,,,,,,,
0001,27/01/01,Espanol,Zaragoza,5,0,H,3.0,0.0,H,,,,,,,,,,,,,
0001,27/01/01,Malaga,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,28/01/01,Alaves,Las Palmas,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,28/01/01,Celta,Osasuna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,28/01/01,Oviedo,Numancia,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,28/01/01,Vallecano,Villarreal,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,28/01/01,Santander,Sociedad,1,4,A,1.0,2.0,A,,,,,,,,,,,,,
0001,28/01/01,Valencia,Real Madrid,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,28/01/01,Valladolid,Mallorca,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,03/02/01,Barcelona,Ath Bilbao,7,0,H,6.0,0.0,H,,,,,,,,,,,,,
0001,04/02/01,La Coruna,Santander,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,04/02/01,Las Palmas,Oviedo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,04/02/01,Mallorca,Valencia,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
0001,04/02/01,Numancia,Valladolid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,04/02/01,Osasuna,Espanol,1,3,A,0.0,3.0,A,,,,,,,,,,,,,
0001,04/02/01,Real Madrid,Malaga,4,3,H,3.0,2.0,H,,,,,,,,,,,,,
0001,04/02/01,Sociedad,Celta,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
0001,04/02/01,Villarreal,Alaves,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,04/02/01,Zaragoza,Vallecano,6,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,10/02/01,Ath Bilbao,Real Madrid,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,10/02/01,La Coruna,Sociedad,4,1,H,3.0,0.0,H,,,,,,,,,,,,,
0001,10/02/01,Espanol,Celta,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,10/02/01,Vallecano,Osasuna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,10/02/01,Valencia,Numancia,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,11/02/01,Alaves,Zaragoza,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,11/02/01,Malaga,Mallorca,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
0001,11/02/01,Oviedo,Villarreal,1,3,A,1.0,0.0,H,,,,,,,,,,,,,
0001,11/02/01,Santander,Barcelona,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,11/02/01,Valladolid,Las Palmas,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,17/02/01,Barcelona,La Coruna,2,3,A,2.0,1.0,H,,,,,,,,,,,,,
0001,17/02/01,Las Palmas,Valencia,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,17/02/01,Real Madrid,Santander,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,18/02/01,Celta,Vallecano,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
0001,18/02/01,Mallorca,Ath Bilbao,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,18/02/01,Numancia,Malaga,3,2,H,1.0,0.0,H,,,,,,,,,,,,,
0001,18/02/01,Osasuna,Alaves,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,18/02/01,Sociedad,Espanol,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
0001,18/02/01,Villarreal,Valladolid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,18/02/01,Zaragoza,Oviedo,5,2,H,4.0,1.0,H,,,,,,,,,,,,,
0001,24/02/01,La Coruna,Real Madrid,2,2,D,0.0,2.0,A,,,,,,,,,,,,,
0001,25/02/01,Alaves,Celta,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
